,signal_001,signal_002,signal_003,signal_004,signal_005,signal_006,signal_007,signal_008,signal_009,signal_010,signal_011,signal_012,signal_013,signal_014
00:02:15,1.446766973,28.66654968,0.501606703,0.501606703,1.723613977,4.362349033,154.3016052,18.21879959,24.53749084,0.5,-0.0018793,0.0,996.7476807,0.0
00:02:16,1.476202011,28.66538048,0.501577318,0.501577318,1.721287012,3.695878983,154.5948944,18.21880913,24.50606918,0.5,-0.001851146,0.0,996.7479858,0.0
00:02:17,1.418231964,28.66420937,0.501547813,0.501547813,1.718961,3.029408932,154.1705017,18.21880913,24.50938034,0.5,-0.001822992,0.0,996.74823,0.001730082
00:02:18,1.454398036,28.66304016,0.50151819,0.50151819,1.716634035,14.58240032,153.2167969,18.21880913,24.51268005,0.5,-0.001794837,0.0,996.7484131,0.000288582
00:02:19,1.384134054,28.66186905,0.501488686,0.501488686,1.712875962,24.29289055,152.5587006,18.21880913,24.5159893,0.5,-0.001766683,0.0,996.7484741,0.000648957
00:02:20,1.464583039,28.66069984,0.501459181,0.501459181,1.724926949,30.45941925,152.5014954,18.21880913,24.51930046,0.5,-0.001738529,0.0,996.7487183,0.001009332
00:02:21,1.438047051,28.65953064,0.501429677,0.501429677,1.734943032,35.15000916,152.5540009,18.21880913,24.52260971,0.5,-0.001710374,0.0,996.7489014,0.001009332
00:02:22,1.501525998,28.65835953,0.501400173,0.501400173,1.74495995,29.48090935,152.6970062,18.21880913,24.52590942,0.5,-0.00168222,0.0,996.7490845,0.001009332
00:02:23,1.530691028,28.65719032,0.501370728,0.501370728,1.750112057,24.56741905,152.9497986,18.21880913,24.52922058,0.5,-0.001654066,0.0,996.7493286,0.001297632
00:02:24,1.484119058,28.65601921,0.501341224,0.501341224,1.73814702,20.4728508,153.3408051,18.21882057,24.53252983,0.5,-0.001625911,0.0,996.7495117,0.001585932
00:02:25,1.463762045,28.65485001,0.501311719,0.501311719,1.735535026,17.06071091,153.7032013,18.21882057,24.53583908,0.5,-0.001597757,0.0,996.7495728,0.001874233
00:02:26,1.440974951,28.6536808,0.501282215,0.501282215,1.732923031,14.21726036,153.8318939,18.21882057,24.5391407,0.5,-0.001569603,0.0,996.7498169,0.002162533
00:02:27,1.467556,28.65250969,0.501252711,0.501252711,1.730311036,11.84772015,153.8701019,18.21882057,24.54244995,0.5,-0.001541449,0.0,996.7501221,0.002450833
00:02:28,1.42324698,28.65134048,0.501223207,0.501223207,1.717308998,9.873096466,153.6649933,18.21882057,24.5457592,0.5,-0.001513294,0.0,996.7501831,0.001730083
00:02:29,1.421076059,28.65016937,0.501193702,0.501193702,1.712643027,8.227579117,153.350296,18.21882057,24.54907036,0.5,-0.00148514,0.0,996.7504272,0.001009332
00:02:30,1.434404016,28.64900017,0.501164198,0.501164198,1.712389946,6.85631609,152.8209991,18.21882057,24.55237007,0.5,-0.001456986,0.0,996.7506104,0.000288582
00:02:31,1.396399975,28.64782906,0.501134694,0.501134694,1.714828014,5.808823109,152.4443054,18.21883011,24.55567932,0.5,-0.001428831,0.0,996.7507935,0.0
00:02:32,1.434430957,28.64665985,0.501105189,0.501105189,1.712178946,4.761330128,152.1582031,18.21883011,24.55899048,0.5,-0.001400677,0.0,996.7509766,0.0
00:02:33,1.477064013,28.64549065,0.501075685,0.501075685,1.715538979,4.033905029,151.9244995,18.21883011,24.56229973,0.5,-0.001372523,0.0,996.7512207,0.0
00:02:34,1.419937015,28.64431953,0.501046181,0.501046181,1.71447897,3.306478977,151.5144958,18.21883011,24.56559944,0.5,-0.001344368,0.0,996.7512817,0.0
00:02:35,1.458821058,28.64315033,0.501016676,0.501016676,1.710618973,14.53110027,151.3332977,18.21883011,24.5689106,0.5,-0.001316214,0.0,996.7515259,0.0
00:02:36,1.423017979,28.64197922,0.500987172,0.500987172,1.712106943,23.85174942,151.2808075,18.21883011,24.5689106,0.5,-0.00128806,0.0,996.751709,0.0
00:02:37,1.389685988,28.64081001,0.500957727,0.500957727,1.707587004,33.74369049,151.1044006,18.21883011,24.5689106,0.5,-0.001259905,0.0,996.7518921,0.000288582
00:02:38,1.388334036,28.63964081,0.500928223,0.500928223,1.703065991,41.0906105,150.9709015,18.21883965,24.5689106,0.5,-0.001231751,0.0,996.7520752,0.000288582
